;Name;Position;Nationality;Age;Height;Weight
1054;Julio Cesar;Goalkeeper;Brazilian;25;191;84
1055;Allan Romeo Nyom;Defender;French;23;188;81
1056;Noe Pamarot;Defender;French;32;180;81
1057;Diego Mainz;Defender;Spanish;28;187;80
1058;Guilherme Siqueira;Defender;Brazilian;25;183;81
1059;Inigo Lopez;Defender;Spanish;29;185;72
1060;Pape Malikou Diakhate;Defender;Senegalese;27;185;79
1061;Jorge Ribeiro;Defender;Portuguese;29;172;67
1062;Manolo Lucena;Defender;Spanish;28;186;84
1063;David Cortes;Defender;Spanish;32;181;70
1064;Yohan Mollo;Midfielder;French;22;175;74
1065;Dani Benitez;Midfielder;Spanish;24;181;69
1066;Mikel Rico;Midfielder;Spanish;26;182;78
1067;Carlos Martins;Midfielder;Portuguese;29;177;73
1068;Hassan Yebda;Midfielder;Algerian;27;188;77
1069;Moises Hurtado;Midfielder;Spanish;30;185;85
1070;Abel Gomez;Midfielder;Spanish;29;182;72
1071;Odion Jude Ighalo;Forward;Nigerian;22;188;70
1072;Ikechukwu Uche;Forward;Nigerian;27;175;73
1073;Alex Geijo;Forward;Swiss;29;184;80
1074;Franco Jara;Forward;Argentinian;23;179;74
1075;Keylor Navas;Goalkeeper;Costa Rican;24;186;78
1076;Gustavo Munua;Goalkeeper;Uruguayan;33;187;88
1077;Nano;Defender;Spanish;31;186;79
1078;Hector Rodas;Defender;Spanish;23;190;80
1079;Juanfran;Defender;Spanish;35;183;78
1080;Asier Del Horno;Defender;Spanish;30;183;72
1081;Javi Venta;Defender;Spanish;34;180;74
1082;Sergio Ballesteros;Defender;Spanish;36;188;93
1083;Pedro Lopez;Defender;Spanish;27;174;72
1084;Gustavo Cabral;Defender;Argentinian;25;182;81
1085;Francisco Javier Farinos;Midfielder;Spanish;33;172;68
1086;Miguel Pallardo;Midfielder;Spanish;25;173;73
1087;Jose Javier Barkero;Midfielder;Spanish;32;180;71
1088;Xavi Torres;Midfielder;Spanish;24;184;82
1089;Juanlu;Midfielder;Spanish;31;173;70
1090;Valdo;Midfielder;Spanish;30;184;78
1091;Arouna Kone;Forward;Ivorian;27;181;81
1092;Rafa Jorda;Forward;Spanish;27;191;87
1093;Wellington Silva;Forward;Brazilian;18;169;65
1094;Ruben Suarez;Forward;Spanish;32;167;67
1095;Carlos Aranda;Forward;Spanish;31;186;82
1096;Nabil El Zhar;Forward;Moroccan;25;170;67
1097;Ruben Martinez;Goalkeeper;Spanish;27;187;82
1098;Willy Caballero;Goalkeeper;Argentinian;29;186;80
1099;Javier Malagueno;Defender;Argentinian;28;184;82
1100;Jesus Gomez;Defender;Spanish;26;182;70
1101;Weligton;Defender;Brazilian;32;185;72
1102;Kris Stadsgaard;Defender;Danish;26;185;78
1103;Martin Demichelis;Defender;Argentinian;30;184;78
1104;Joris Mathijsen;Defender;Dutch;31;183;82
1105;Nacho Monreal;Defender;Spanish;25;178;72
1106;Sergio Sanchez;Defender;Spanish;25;185;78
1107;Ignacio Camacho;Midfielder;Spanish;21;181;68
1108;Jeremy Toulalan;Midfielder;French;28;183;77
1109;Apono;Midfielder;Spanish;27;173;72
1110;Santi Cazorla;Midfielder;Spanish;26;168;66
1111;Enzo Maresca;Midfielder;Italian;31;180;77
1112;Duda;Midfielder;Portuguese;31;175;71
1113;Eliseu Pereira;Midfielder;Portuguese;27;177;74
1114;Diego Buonanotte;Midfielder;Argentinian;23;161;60
1115;Isco;Midfielder;Spanish;19;180;75
1116;Francisco Portillo;Midfielder;Spanish;21;169;63
1117;Recio;Midfielder;Spanish;20;183;74
1118;Joaquin Sanchez;Forward;Spanish;30;179;75
1119;Ruud Van Nistelrooy;Forward;Dutch;35;188;82
1120;Sebastian Fernandez;Forward;Uruguayan;26;167;65
1121;Julio Baptista;Forward;Brazilian;29;187;81
1122;Jose Salomon Rondon;Forward;Venezuelan;22;186;86
1123;Juanmi;Forward;Spanish;18;169;63
1124;Mario Fernandez;Goalkeeper;Spanish;23;184;74
1125;Tono;Goalkeeper;Spanish;31;182;81
1126;Christian Fernandez;Defender;Spanish;25;182;77
1127;Osmar Barba;Defender;Spanish;23;192;84
1128;Domingo Cisma;Defender;Spanish;29;184;76
1129;Francis;Defender;Spanish;29;178;70
1130;Marc Torrejon;Defender;Spanish;25;187;87
1131;Papakouly Diop;Midfielder;Senegalese;25;180;73
1132;Manuel Arana;Midfielder;Spanish;26;175;73
1133;Gonzalo Colsa;Midfielder;Spanish;32;185;77
1134;Pedro Munitis;Midfielder;Spanish;36;167;70
1135;<U+00D3>scar Serrano;Midfielder;Spanish;29;175;73
1136;Kennedy Bakircioglu;Midfielder;Swedish;30;181;71
1137;Alexandros Tziolis;Midfielder;Greek;26;189;84
1138;Adrian Gonzalez;Midfielder;Spanish;23;183;76
1139;Lautaro Acosta;Forward;Argentinian;23;168;68
1140;Christian Stuani;Forward;Uruguayan;24;185;77
1141;Ariel Nahuelpan;Forward;Argentinian;23;187;87
1142;David  Cobeno;Goalkeeper;Spanish;29;185;82
1143;Dani Gimenez;Goalkeeper;Spanish;28;182;77
1144;Tito;Defender;Spanish;26;174;62
1145;Jose Manuel Casado;Defender;Spanish;25;173;70
1146;Mikel Labaka;Defender;Spanish;31;182;70
1147;Alejandro Arribas;Defender;Spanish;22;182;75
1148;Pedro Botelho;Defender;Brazilian;21;188;73
1149;Raul Bravo;Defender;Spanish;30;176;72
1150;Jordi Figueras;Defender;Spanish;24;185;82
1151;Rafa Garcia;Midfielder;Spanish;25;188;84
1152;Jose Maria Movilla;Midfielder;Spanish;36;171;70
1153;Michel;Midfielder;Spanish;35;174;66
1154;Francisco Medina Piti;Midfielder;Spanish;30;174;69
1155;Nestor Susaeta;Midfielder;Spanish;26;177;74
1156;Roberto Trashorras;Midfielder;Spanish;30;177;70
1157;Javi Fuego;Midfielder;Spanish;27;181;74
1158;Miguel Perez Michu;Midfielder;Spanish;25;185;80
1159;Raul Tamudo;Forward;Spanish;33;180;74
1160;Sergio Koke;Forward;Spanish;28;180;80
1161;Andrija Delibasic;Forward;Montenegrin;30;187;84
1162;Carlos Kameni;Goalkeeper;Cameroonian;27;186;86
1163;Kiko Casilla;Goalkeeper;Spanish;24;192;83
1164;Cristian Alvarez;Goalkeeper;Argentinian;25;186;88
1165;Felipe Mattioni;Defender;Brazilian;22;180;75
1166;Raul Rodriguez;Defender;Spanish;23;183;70
1167;Jordi Amat;Defender;Spanish;19;184;78
1168;Ernesto Galan;Defender;Spanish;25;181;76
1169;Hector Moreno;Defender;Mexican;23;182;80
1170;Juan Forlan;Defender;Argentinian;23;180;77
1171;Didac Vila;Defender;Spanish;22;184;74
1172;Javi Marquez;Midfielder;Spanish;25;178;71
1173;Raul Baena;Midfielder;Spanish;22;179;73
1174;Joan Verdu;Midfielder;Spanish;28;182;76
1175;Romaric;Midfielder;Ivorian;28;187;88
1176;Javi Lopez;Midfielder;Spanish;25;180;74
1177;Vladimir Weiss;Midfielder;Slovakian;21;173;70
1178;Jesus Datolo;Midfielder;Argentinian;27;177;73
1179;Rui Fonte;Forward;Portuguese;21;181;73
1180;<U+00C1>lvaro Vazquez;Forward;Spanish;20;182;76
1181;Sergio Garcia;Forward;Spanish;28;176;69
1182;Walter Pandiani;Forward;Uruguayan;35;183;77
1183;Juan Albin;Forward;Uruguayan;25;179;77
1184;Juan Jesus Calatayud;Goalkeeper;Spanish;31;191;85
1185;Dudu Aouate;Goalkeeper;Israeli;33;188;84
1186;Gianni Zuiverloon;Defender;Dutch;24;178;70
1187;Ivan Ramis;Defender;Spanish;26;188;82
1188;Jose Manuel Flores Chico;Defender;Spanish;24;187;82
1189;Pablo Caceres;Defender;Uruguayan;26;172;71
1190;Nunes;Defender;Portuguese;34;185;82
1191;Marti Crespi;Defender;Spanish;24;181;71
1192;Pau Cendros;Defender;Spanish;24;176;73
1193;Kevin Garcia;Defender;Spanish;22;178;74
1194;Joao Victor;Midfielder;Brazilian;23;181;75
1195;Tomas Pina;Midfielder;Spanish;23;184;75
1196;Fernando Tissone;Midfielder;Argentinian;25;182;75
1197;Michael Pereira;Midfielder;French;23;180;69
1198;Gonzalo Castro;Midfielder;Uruguayan;27;176;70
1199;Akihiro Ienaga;Midfielder;Japanese;25;173;70
1200;Jose Luis Marti;Midfielder;Spanish;36;180;74
1201;Sergio Tejera;Midfielder;Spanish;21;183;76
1202;Emilio Nsue;Forward;Spanish;21;182;75
1203;Tomer Hemed;Forward;Israeli;24;185;80
1204;Victor Casadesus;Forward;Spanish;26;180;77
1205;Alejandro Alfaro;Forward;Spanish;24;173;72
1206;Inaki Goitia;Goalkeeper;Spanish;29;188;79
1207;Casto Espinosa;Goalkeeper;Spanish;29;182;80
1208;Fabricio;Goalkeeper;Spanish;23;180;67
1209;Jose Isidoro;Defender;Spanish;25;180;71
1210;Mario;Defender;Spanish;29;178;75
1211;Antonio Amaya;Defender;Spanish;28;192;81
1212;Chechu Dorado;Defender;Spanish;29;180;69
1213;Ustaritz;Defender;Spanish;28;183;77
1214;Javi Chica;Defender;Spanish;26;176;78
1215;Nelson;Defender;Portuguese;28;171;65
1216;Nacho;Defender;Spanish;31;175;70
1217;Miki Roque;Defender;Spanish;23;186;78
1218;Juanma;Midfielder;Spanish;30;176;72
1219;Javier Matilla;Midfielder;Spanish;23;176;72
1220;Benat Etxebarria;Midfielder;Spanish;24;175;72
1221;Momo;Midfielder;Spanish;29;182;74
1222;Zoran Tosic;Midfielder;Serbian;24;171;70
1223;Salva Sevilla;Midfielder;Spanish;27;178;70
1224;Iriney;Midfielder;Brazilian;30;179;70
1225;Jose Alberto Canas;Midfielder;Spanish;24;177;71
1226;Jonathan Pereira;Forward;Spanish;24;163;59
1227;Roque Santa Cruz;Forward;Paraguayan;30;187;80
1228;Jorge Molina;Forward;Spanish;29;188;87
1229;Jefferson Montero;Forward;Ecuadorian;22;169;68
1230;Ruben Castro;Forward;Spanish;30;172;74
1231;Ezequiel Calvente;Forward;Spanish;20;168;60
1232;Iker Casillas;Goalkeeper;Spanish;30;185;80
1233;Antonio Adan;Goalkeeper;Spanish;24;190;90
1234;Ricardo Carvalho;Defender;Portuguese;33;183;79
1235;Pepe;Defender;Portuguese;28;187;81
1236;Sergio Ramos;Defender;Spanish;25;183;81
1237;Marcelo Vieira;Defender;Brazilian;23;174;73
1238;Fabio Coentrao;Defender;Portuguese;23;179;68
1239;Alvaro Arbeloa;Defender;Spanish;28;183;76
1240;Raul Albiol;Defender;Spanish;26;190;82
1241;Raphael Varane;Defender;French;18;190;85
1242;Nuri Sahin;Midfielder;Turkish;23;180;72
1243;Sami Khedira;Midfielder;German;24;189;83
1244;Kak<U+00E1>;Midfielder;Brazilian;29;186;82
1245;Mesut <U+00D6>zil;Midfielder;German;22;183;76
1246;Esteban Granero;Midfielder;Spanish;24;179;77
1247;Xabi Alonso;Midfielder;Spanish;29;182;79
1248;Hamit Altintop;Midfielder;Turkish;28;183;83
1249;<U+00C1>ngel Di Maria;Midfielder;Argentinian;23;180;70
1250;Lass Diarra;Midfielder;French;26;172;73
1251;Cristiano Ronaldo;Forward;Portuguese;26;185;80
1252;Karim Benzema;Forward;French;23;184;83
1253;Gonzalo Higuain;Forward;Argentinian;23;184;81
1254;Jose Callejon;Forward;Spanish;24;178;73
1255;Alvaro Morata;Forward;Spanish;18;187;82
1256;Claudio Bravo;Goalkeeper;Chilean;28;184;84
1257;Enaut Zubikarai;Goalkeeper;Spanish;27;185;73
1258;Tono Ramirez;Goalkeeper;Spanish;24;189;83
1259;Carlos Martinez;Defender;Spanish;25;188;78
1260;Mikel Gonzalez;Defender;Spanish;25;188;78
1261;Ion Ansotegi;Defender;Spanish;29;192;84
1262;Vadim Demidov;Defender;Norwegian;24;185;81
1263;Liassine Cadamuro;Defender;French;23;186;76
1264;Daniel Estrada;Defender;Spanish;24;177;68
1265;Alberto De La Bella;Defender;Spanish;25;180;75
1266;Gorka Elustondo;Midfielder;Spanish;24;182;73
1267;Markel Bergara;Midfielder;Spanish;25;180;74
1268;Xabi Prieto;Midfielder;Spanish;28;185;75
1269;Mikel Aranburu;Midfielder;Spanish;32;178;71
1270;David Zurutuza;Midfielder;French;25;184;70
1271;Macdonald Mariga;Midfielder;Kenyan;24;188;86
1272;Asier Illarramendi;Midfielder;Spanish;21;177;74
1273;Antoine Griezmann;Forward;French;20;174;72
1274;Joseba Llorente;Forward;Spanish;31;184;72
1275;Imanol Agirretxe;Forward;Spanish;24;184;74
1276;Jeffrey Sarpong;Forward;Dutch;23;176;67
1277;Diego Ifran;Forward;Uruguayan;24;171;74
1278;Carlos Vela;Forward;Mexican;22;175;72
1279;Roberto Jimenez;Goalkeeper;Spanish;25;192;88
1280;Leo Franco;Goalkeeper;Argentinian;34;188;79
1281;Javier Paredes Arango;Defender;Spanish;29;175;74
1282;Maurizio Lanzaro;Defender;Italian;29;182;83
1283;Fernando Meira;Defender;Portuguese;33;190;85
1284;Paulo Da Silva;Defender;Paraguayan;31;180;76
1285;Ivan Obradovic;Defender;Serbian;23;181;74
1286;Efrain Juarez;Midfielder;Mexican;23;181;65
1287;Juan Carlos Perez;Midfielder;Spanish;21;178;69
1288;<U+00C1>ngel Lafita;Midfielder;Spanish;27;188;75
1289;Ruben Micael;Midfielder;Portuguese;25;176;70
1290;Franco Zuculini;Midfielder;Argentinian;21;174;71
1291;Leonardo Ponzio;Midfielder;Argentinian;29;178;75
1292;Braulio;Forward;Spanish;25;178;82
1293;H<U+00E9>lder Postiga;Forward;Portuguese;29;181;73
1294;Luis Garcia;Forward;Spanish;30;180;68
1295;Pablo Barrera;Forward;Mexican;24;175;65
1296;Andres Palop;Goalkeeper;Spanish;37;184;75
1297;Javi Varas;Goalkeeper;Spanish;29;182;73
1298;Federico Fazio;Defender;Argentinian;24;195;85
1299;Fernando Navarro;Defender;Spanish;29;178;70
1300;Martin Caceres;Defender;Uruguayan;24;182;77
1301;Alexis Ruano;Defender;Spanish;26;183;75
1302;Emir Spahic;Defender;Bosnian;31;183;77
1303;Julien Escude;Defender;French;32;183;79
1304;Antonio Luna;Defender;Spanish;20;177;68
1305;Jorge Andujar Moreno Coke;Defender;Spanish;24;182;78
1306;Jesus Navas;Midfielder;Spanish;25;170;60
1307;Gary Medel;Midfielder;Chilean;24;171;73
1308;Diego Perotti;Midfielder;Argentinian;23;179;70
1309;Ivan Rakitic;Midfielder;Croatian;23;184;77
1310;Piotr Trochowski;Midfielder;German;27;169;70
1311;Tiberio Guarente;Midfielder;Italian;25;182;74
1312;<U+00C1>lvaro Negredo;Forward;Spanish;26;186;79
1313;Frederic Kanoute;Forward;Malian;34;192;82
1314;Emiliano Armenteros;Forward;Argentinian;25;178;77
1315;Manu Del Moral;Forward;Spanish;27;186;77
1316;Tom De Mul;Forward;Belgian;25;178;67
1317;Juan Pablo Colinas;Goalkeeper;Spanish;33;190;85
1318;Ivan Cuellar;Goalkeeper;Spanish;27;185;75
1319;Alberto Botia;Defender;Spanish;22;187;80
1320;Alberto Lora;Defender;Spanish;24;168;67
1321;Gregory;Defender;French;30;187;88
1322;Ivan Hernandez;Defender;Spanish;31;188;84
1323;Roberto Canella;Defender;Spanish;23;180;70
1324;Damien Suarez;Defender;Spanish;23;173;68
1325;Andre Castro;Midfielder;Portuguese;23;181;75
1326;Alberto Rivera;Midfielder;Spanish;33;170;68
1327;Carmelo Gonzalez;Midfielder;Spanish;28;180;70
1328;Ayoze Garcia;Midfielder;Spanish;25;172;70
1329;Sebastian Eguren;Midfielder;Uruguayan;30;186;84
1330;Nacho Novo;Midfielder;Spanish;32;175;70
1331;Sergio Alvarez;Midfielder;Spanish;19;180;64
1332;Luis Moran;Midfielder;Spanish;24;172;67
1333;Miguel De Las Cuevas;Midfielder;Spanish;25;175;69
1334;Nacho Cases;Midfielder;Spanish;23;174;64
1335;Ricardo Leon;Midfielder;Spanish;28;186;67
1336;Mate Bilic;Forward;Croatian;30;184;81
1337;Gast<U+00F3>n Sangoy;Forward;Argentinian;26;178;79
1338;David Barral;Forward;Spanish;28;183;78
1339;Oscar Guido Trejo;Forward;Argentinian;23;180;79
1340;Diego Alves;Goalkeeper;Brazilian;26;188;83
1341;Vicente Guaita;Goalkeeper;Spanish;24;192;86
1342;Bruno Saltor;Defender;Spanish;30;181;76
1343;Hedwiges Maduro;Defender;Dutch;26;185;79
1344;Adil Rami;Defender;French;25;190;90
1345;Antonio Barragan;Defender;Spanish;24;182;76
1346;<U+00C1>ngel Dealbert;Defender;Spanish;28;185;75
1347;Victor Ruiz;Defender;Spanish;22;185;80
1348;Ricardo Costa;Defender;Portuguese;30;183;80
1349;Jeremy Mathieu;Defender;French;26;192;82
1350;Miguel Monteiro;Defender;Portuguese;31;179;78
1351;Mehmet Topal;Midfielder;Turkish;25;187;76
1352;David Albelda;Midfielder;Spanish;34;181;77
1353;Sofiane Feghouli;Midfielder;Algerian;21;178;71
1354;<U+00C9>ver Banega;Midfielder;Argentinian;23;174;71
1355;Sergio Canales;Midfielder;Spanish;20;176;65
1356;Jordi Alba;Midfielder;Spanish;22;170;69
1357;Pablo Hernandez;Midfielder;Spanish;26;173;64
1358;Daniel Parejo;Midfielder;Spanish;22;180;73
1359;Tino Costa;Midfielder;Argentinian;26;176;70
1360;Jonas Goncalves Oliveira;Forward;Brazilian;27;181;75
1361;Roberto Soldado;Forward;Spanish;26;179;81
1362;Aritz Aduriz;Forward;Spanish;30;181;75
1363;Pablo Piatti;Forward;Argentinian;22;163;63
1364;Cesar Sanchez;Goalkeeper;Spanish;40;185;85
1365;Diego Lopez;Goalkeeper;Spanish;29;196;88
1366;Gonzalo Rodriguez;Defender;Argentinian;27;182;79
1367;Joan Oriol;Defender;Spanish;24;175;69
1368;Mateo Musacchio;Defender;Argentinian;21;180;73
1369;Carlos Marchena;Defender;Spanish;32;183;78
1370;<U+00C1>ngel Lopez;Defender;Spanish;30;180;71
1371;Cristian Zapata;Defender;Colombian;24;186;78
1372;Mario Gaspar;Defender;Spanish;20;178;71
1373;Jose Manuel Catala;Defender;Spanish;26;180;72
1374;Jonathan De Guzman;Midfielder;Dutch;24;174;70
1375;Cani;Midfielder;Spanish;30;180;75
1376;Javier Camunas;Midfielder;Spanish;31;173;71
1377;Marcos Senna;Midfielder;Spanish;35;177;76
1378;Borja Valero;Midfielder;Spanish;26;176;73
1379;Bruno Soriano;Midfielder;Spanish;27;179;70
1380;Wakaso Mubarak;Midfielder;Ghanaian;21;171;66
1381;Nilmar;Forward;Brazilian;27;180;73
1382;Marco Ruben;Forward;Argentinian;24;179;72
1383;Giuseppe Rossi;Forward;Italian;24;173;73
1384;Gerard Bordas;Forward;Spanish;30;177;70
1385;Francesco Antonioli;Goalkeeper;Italian;42;188;80
1386;Maurizio Lauro;Defender;Italian;30;181;73
1387;Marco Rossi;Defender;Italian;23;188;78
1388;Gianluca Comotto;Defender;Italian;32;181;79
1389;Steve Von Bergen;Defender;Swiss;28;182;77
1390;Yohan Benalouane;Defender;Tunisian;24;185;79
1391;Luca Ceccarelli;Defender;Italian;28;183;70
1392;Roberto Guana;Midfielder;Italian;30;178;72
1393;Antonio Candreva;Midfielder;Italian;24;180;72
1394;Giuseppe Colucci;Midfielder;Italian;31;180;73
1395;Marco Parolo;Midfielder;Italian;26;184;75
1396;Florin Matei;Midfielder;Romanian;NA;174;66
1397;<U+00C9>der Citadin Martins;Forward;Brazilian;24;179;72
1398;Adrian Mutu;Forward;Romanian;32;180;74
1399;Abdelkader Ghezzal;Forward;Algerian;26;183;78
1400;Dominique Malonga;Forward;French;22;183;80
1401;Jorge Martinez;Forward;Uruguayan;28;181;80
1402;Erjon Bogdani;Forward;Albanian;34;191;89
1403;Christian Puggioni;Goalkeeper;Italian;30;187;81
1404;Lorenzo Squizzi;Goalkeeper;Italian;37;191;89
1405;Stefano Sorrentino;Goalkeeper;Italian;32;186;84
1406;Marco Andreolli;Defender;Italian;25;186;80
1407;Santiago Morero;Defender;Argentinian;29;184;79
1408;Davide Mandelli;Defender;Italian;34;190;84
1409;Bostjan Cesar;Defender;Slovenian;29;191;89
1410;Bojan Jokic;Defender;Slovenian;25;176;75
1411;Francesco Acerbi;Defender;Italian;23;192;90
1412;Gennaro Sardo;Defender;Italian;32;190;87
1413;Nicolas Frey;Defender;French;27;184;78
1414;Marco Malago;Defender;Italian;32;184;79
1415;Kamil Vacek;Midfielder;Czech;24;183;81
1416;Paolo Sammarco;Midfielder;Italian;28;181;76
1417;Rinaldo Cruzado;Midfielder;Peruvian;26;180;74
1418;Luciano;Midfielder;Brazilian;35;181;76
1419;Luca Rigoni;Midfielder;Italian;26;185;78
1420;Michael Bradley;Midfielder;American;24;186;84
1421;Perparim Hetemaj;Midfielder;Finnish;24;176;68
1422;Davide Moscardelli;Forward;Italian;31;185;85
1423;Sergio Pellissier;Forward;Italian;32;175;76
1424;Alberto Paloschi;Forward;Italian;21;175;68
1425;Fernando Uribe;Forward;Colombian;23;181;77
1426;Marco Amelia;Goalkeeper;Italian;29;189;84
1427;Flavio Roma;Goalkeeper;Italian;37;191;83
1428;Christian Abbiati;Goalkeeper;Italian;34;191;92
1429;Taye Taiwo;Defender;Nigerian;26;183;77
1430;Philippe Mexes;Defender;French;29;187;82
1431;Alessandro Nesta;Defender;Italian;35;187;79
1432;Gianluca Zambrotta;Defender;Italian;34;181;76
1433;Ignazio Abate;Defender;Italian;24;180;73
1434;Daniele Bonera;Defender;Italian;30;183;74
1435;Thiago Emiliano Da Silva;Defender;Brazilian;26;183;79
1436;Mario Yepes;Defender;Colombian;35;187;79
1437;Luca Antonini;Defender;Italian;29;182;70
1438;Mark Van Bommel;Midfielder;Dutch;34;187;85
1439;Gennaro Gattuso;Midfielder;Italian;33;177;77
1440;Clarence Seedorf;Midfielder;Dutch;35;177;80
1441;Mathieu Flamini;Midfielder;French;27;178;67
1442;Alberto Aquilani;Midfielder;Italian;27;187;77
1443;Antonio Nocerino;Midfielder;Italian;26;175;75
1444;Massimo Ambrosini;Midfielder;Italian;34;182;72
1445;Kevin-prince Boateng;Midfielder;Ghanaian;24;185;86
1446;Urby Emanuelson;Midfielder;Dutch;25;176;68
1447;Alexandre Pato;Forward;Brazilian;22;180;78
1448;Filippo Inzaghi;Forward;Italian;38;181;74
1449;Zlatan Ibrahimovic;Forward;Swedish;29;195;95
1450;Robinho;Forward;Brazilian;27;174;61
1451;Stephan El Shaarawy;Forward;Italian;18;178;72
1452;Antonio Cassano;Forward;Italian;29;175;78
1453;<U+017D>eljko Brkic;Goalkeeper;Serbian;25;196;89
1454;Cristiano Del Grosso;Defender;Italian;28;173;65
1455;<U+00C2>ngelo;Defender;Brazilian;30;174;78
1456;Luca Rossettini;Defender;Italian;26;187;82
1457;Nicola Belmonte;Defender;Italian;24;183;75
1458;Claudio Terzi;Defender;Italian;27;182;73
1459;Andrea Rossi;Defender;Italian;24;177;70
1460;Matteo Contini;Defender;Italian;31;182;76
1461;Francesco Parravicini;Midfielder;Italian;29;175;73
1462;Paul Codrea;Midfielder;Romanian;30;174;69
1463;Simone Vergassola;Midfielder;Italian;35;174;70
1464;Gaetano D'agostino;Midfielder;Italian;29;183;81
1465;Alessandro Gazzi;Midfielder;Italian;28;184;81
1466;Francesco Bolzoni;Midfielder;Italian;22;180;78
1467;Daniele Mannini;Midfielder;Italian;27;183;78
1468;Alessio Sestu;Midfielder;Italian;27;179;73
1469;Gennaro Troianiello;Forward;Italian;28;176;71
1470;Marcelo Larrondo;Forward;Argentinian;23;191;79
1471;Emanuele Calaio;Forward;Italian;29;179;73
1472;Pablo Andres Gonzalez;Forward;Argentinian;26;182;72
1473;Mattia Destro;Forward;Italian;20;178;75
1474;Franco Brienza;Forward;Italian;32;168;65
1475;Reginaldo Ferreira Da Silva;Forward;Brazilian;28;175;72
1476;Artur Boruc;Goalkeeper;Polish;31;193;88
1477;Norberto Neto;Goalkeeper;Brazilian;22;191;83
1478;Per Kroldrup;Defender;Danish;32;194;91
1479;Alessandro Gamberini;Defender;Italian;30;185;78
1480;Cesare Natali;Defender;Italian;32;191;87
1481;Mattia Cassani;Defender;Italian;28;184;75
1482;Felipe Dal Belo;Defender;Brazilian;27;188;80
1483;Manuel Pasqual;Defender;Italian;29;178;71
1484;Lorenzo De Silvestri;Defender;Italian;23;185;78
1485;Michele Camporese;Defender;Italian;19;186;75
1486;Souza Caldeira Romulo;Defender;Brazilian;24;178;72
1487;Juan Manuel Vargas;Midfielder;Peruvian;27;184;85
1488;Houssine Kharja;Midfielder;Moroccan;28;181;77
1489;Riccardo Montolivo;Midfielder;Italian;26;181;76
1490;Gianni Munari;Midfielder;Italian;28;190;84
1491;Andrea Lazzari;Midfielder;Italian;26;184;75
1492;Adem Ljajic;Midfielder;Serbian;19;182;74
1493;Marco Marchionni;Midfielder;Italian;31;175;66
1494;Nikola Gulan;Midfielder;Serbian;22;183;73
1495;Valon Behrami;Midfielder;Swiss;26;185;78
1496;Alessio Cerci;Forward;Italian;24;180;78
1497;Stevan Jovetic;Forward;Montenegrin;21;183;79
1498;Khouma Babacar;Forward;Senegalese;18;191;85
1499;Santiago Silva;Forward;Uruguayan;30;183;83
1500;Alberto Gilardino;Forward;Italian;29;184;79
1501;Bogdan Lobont;Goalkeeper;Romanian;33;185;78
1502;Gianluca Curci;Goalkeeper;Italian;26;191;90
1503;Maarten Stekelenburg;Goalkeeper;Dutch;28;194;84
1504;Jos<U+00E9> <U+00C1>ngel;Defender;Spanish;22;183;75
1505;Juan Silveira Dos Santos;Defender;Brazilian;32;182;74
1506;Gabriel Heinze;Defender;Argentinian;33;178;72
1507;Vitorino Antunes;Defender;Portuguese;24;175;69
1508;Cicinho;Defender;Brazilian;31;172;68
1509;Nicolas Burdisso;Defender;Argentinian;30;182;81
1510;Simon Kjaer;Defender;Danish;22;189;86
1511;Marco Cassetti;Defender;Italian;34;187;80
1512;Ahmed Barusso;Midfielder;Ghanaian;26;185;75
1513;David Pizarro;Midfielder;Chilean;32;170;65
1514;Erik Lamela;Midfielder;Argentinian;19;180;70
1515;Rodrigo Taddei;Midfielder;Brazilian;31;177;69
1516;Miralem Pjanic;Midfielder;Bosnian;21;180;68
1517;Daniele De Rossi;Midfielder;Italian;28;184;83
1518;Fernando Gago;Midfielder;Argentinian;25;177;72
1519;Simone Perrotta;Midfielder;Italian;33;178;72
1520;Leandro Greco;Midfielder;Italian;25;183;76
1521;Fabio Simplicio;Midfielder;Brazilian;31;173;69
1522;Aleandro Rosi;Midfielder;Italian;24;184;80
1523;Pablo Daniel Osvaldo;Forward;Italian;25;182;74
1524;Francesco Totti;Forward;Italian;34;180;82
1525;Bojan Krkic;Forward;Spanish;21;170;65
1526;Marco Borriello;Forward;Italian;29;185;80
1527;Fabio Borini;Forward;Italian;20;178;73
1528;Stefano Okaka Chuka;Forward;Italian;22;186;82
1529;Andrea Consigli;Goalkeeper;Italian;24;189;79
1530;Stefano Lucchini;Defender;Italian;30;186;76
1531;Daniele Capelli;Defender;Italian;25;186;84
1532;Thomas Manfredini;Defender;Italian;31;182;82
1533;Gianpaolo Bellini;Defender;Italian;31;180;77
1534;Federico Peluso;Defender;Italian;27;186;77
1535;Andrea Masiello;Defender;Italian;25;185;79
1536;Luca Cigarini;Midfielder;Italian;25;175;72
1537;Ezequiel Schelotto;Midfielder;Italian;22;187;76
1538;Maximiliano Moralez;Midfielder;Argentinian;24;160;55
1539;Fabio Caserta;Midfielder;Italian;32;179;77
1540;Simone Padoin;Midfielder;Italian;27;179;74
1541;Carlos Carmona;Midfielder;Chilean;24;176;74
1542;Cristiano Doni;Midfielder;Italian;38;185;81
1543;Matteo Brighi;Midfielder;Italian;30;179;78
1544;Cristian Raimondi;Midfielder;Italian;30;182;78
